weekend_holiday_flag;rain_flag;hour;p;n;average;var;std
1;0;10;0.04237853526823327;9.92475847820728;224.26829268292684;5292.025580011898;72.74630973466556
1;0;11;0.04645007564130635;14.577598941322531;299.2560975609756;6442.531975014872;80.26538466247372
1;0;12;0.04046431323487961;15.046719520952056;356.8048780487805;8817.766805472933;93.90296483856584
1;0;13;0.032955242746081775;14.723488579325029;432.0487804878049;13110.168352171324;114.4996434587083
1;0;14;0.03409598411908591;15.587767908424729;441.5853658536585;12951.242712671028;113.80352680242835
1;0;15;0.04721417638869428;16.698428422674333;336.9756097560976;7137.170136823321;84.4817739919287
1;0;16;0.04330579772520613;17.093466017903882;377.6219512195122;8719.893664485424;93.3803708735697
1;0;17;0.031276666128151276;13.665055609275116;423.2439024390244;13532.25758477097;116.32823210541356
1;0;18;0.02796015180832869;12.204177504045028;424.280487804878;15174.470107079123;123.1846991597541
1;0;19;0.027239989456916004;13.120329276714243;468.5365853658537;17200.321832242713;131.14999745422304
1;0;20;0.0227244283342847;11.06381267045632;475.8048780487805;20938.03509815586;144.6998102906699
1;0;21;0.03180913403990928;13.653323074977118;415.5731707317073;13064.586109458656;114.30042042555512
1;0;22;0.033356498686285534;11.060932157648233;320.5365853658537;9609.419393218323;98.02764606588451
1;0;23;0.036209267999623804;10.540574025861881;280.5609756097561;7748.319452706722;88.0245389235679
1;1;0;0.02283432785675255;6.338547912309539;271.25;11879.044642857143;108.99103010274351
1;1;1;0.030493355491213944;8.568544962106976;272.42857142857144;8934.030612244898;94.52000112275125
1;1;2;0.04238833512539594;10.541307720611941;238.14285714285714;5618.122448979592;74.95413563626488
1;1;3;0.04751769850415346;8.848041825668021;177.35714285714286;3732.4438775510203;61.09373026384148
1;1;4;0.060964552040276;7.922866671869009;122.03571428571429;2001.7487244897961;44.740906612291575
1;1;5;0.07492300157701237;8.044151527033957;99.32142857142857;1325.6466836734694;36.409431246223406
1;1;6;0.10431721417933855;9.43796185116271;81.03571428571429;776.8201530612243;27.87149355634219
1;1;7;0.07864439896578153;4.066664229106299;47.642857142857146;605.8010204081633;24.613025421677914
1;1;8;0.052075700825579524;4.098659834190994;74.60714285714286;1432.6670918367347;37.850589055346745
1;1;9;0.02349730560967653;3.1547937563543633;131.10714285714286;5579.667091836735;74.69716923576647
1;1;10;0.02312260674483415;4.367945026946789;184.53571428571428;7980.748724489796;89.33503637705532
1;1;11;0.018449252415614542;4.517758872254458;240.35714285714286;13028.01530612245;114.14033163664126
1;1;12;0.015504635192809707;4.630151557472078;294.0;18962.071428571428;137.7028374020355
1;1;13;0.013967083278076293;4.968347787081878;350.75;25112.616071428572;158.46960614398137
1;1;14;0.012522867478301211;4.575821337545795;360.82142857142856;28813.003826530614;169.74393605230972
1;1;15;0.015985124397106826;4.33097959125622;266.60714285714283;16678.452806122452;129.14508432814023
1;1;16;0.015372710444755303;4.652033044130912;297.9642857142857;19382.677295918365;139.22168400043998
1;1;17;0.012784593108471836;4.1602374795066845;321.25;25127.901785714286;158.51782797437733
1;1;18;0.012019141931763948;3.7899438397366705;311.5357142857143;25919.963010204076;160.99677950258533
1;1;19;0.013637402559107668;5.063261370756776;366.2142857142857;26853.668367346934;163.87088932249966
1;1;20;0.013609934297600676;4.627656855352038;335.39285714285717;24643.238520408162;156.981650266546
1;1;21;0.01405325913928694;4.140152514006239;290.4642857142857;20668.820153061224;143.7665474060681
1;1;22;0.025773718181141183;5.699287107918752;215.42857142857142;8358.45918367347;91.42460928914856
1;1;23;0.023372072923157322;4.436710497870512;185.39285714285714;7932.238520408164;89.06311537560408
